N,SITE,Status,Data Exists for 2023,Note
3601,,Confirmed,,No CCS. Low volume. Use regional adj rate.
3602,,Confirmed,,No CCS. Low volume. Use regional adj rate.
3603,,Confirmed,,No CCS. Low volume. Use regional adj rate.
3604,684,Confirmed,Yes,
3605,,Confirmed,,No CCS. Low volume. Use regional adj rate.
3606,679,Confirmed,Yes,
3607,838,Confirmed,Yes,
3608,320,Confirmed,Yes,
3609,307,Confirmed,Yes,
3610,,Confirmed,,No CCS. Low volume. Use regional adj rate.
3611,,Confirmed,,No existing facility
3612,615,Confirmed,Yes,
3613,,Confirmed,,No CCS. Low volume. Use regional adj rate.
3614,677,Confirmed,Yes,
3615,,Confirmed,,No CCS. Low volume. Use regional adj rate.
3616,,Confirmed,,No CCS. Low volume. Use regional adj rate.
3617,321,Confirmed,Yes,
3618,,Confirmed,,No CCS. Low volume. Use regional adj rate.
3619,,Confirmed,,No CCS. Low volume. Use regional adj rate.
3620,319,Confirmed,Yes,
3621,,Confirmed,,No CCS. Low volume. Use regional adj rate.
3622,,Confirmed,,No CCS. Low volume. Use regional adj rate.
3623,757,Confirmed,Yes,
3624,,Confirmed,,No CCS. Low volume. Use regional adj rate.
3625,,Confirmed,,No CCS. Low volume. Use regional adj rate.
3626,416,Confirmed,Yes,
3627,,Confirmed,,No CCS. Low volume. Use regional adj rate.
3628,638,Confirmed,Yes,
3629,,Confirmed,,No CCS. Low volume. Use regional adj rate.
