externalid,year,linear_forecast,manual_adj,final_forecast
3601,2027,890,0,900
3601,2032,989,0,1000
3601,2036,1069,0,1100
3601,2046,1268,0,1300
3601,2055,1447,0,1400
3601,2060,1546,0,1500
3602,2027,10557,500,11000
3602,2032,11284,300,11500
3602,2036,11865,200,12000
3602,2046,13318,100,13500
3602,2055,14625,0,14500
3602,2060,15352,0,15500
3603,2027,1582,0,1600
3603,2032,1718,0,1700
3603,2036,1827,0,1800
3603,2046,2099,0,2100
3603,2055,2344,0,2300
3603,2060,2481,0,2500
3604,2027,32376,0,32500
3604,2032,34825,0,35000
3604,2036,36783,0,37000
3604,2046,41680,0,41500
3604,2055,46087,0,46000
3604,2060,48535,0,48500
3605,2027,3728,100,3800
3605,2032,4002,0,4000
3605,2036,4222,0,4200
3605,2046,4770,0,4800
3605,2055,5263,0,5300
3605,2060,5537,0,5500
3606,2027,22804,0,23000
3606,2032,24575,0,24500
3606,2036,25992,0,26000
3606,2046,29534,0,29500
3606,2055,32722,0,32500
3606,2060,34493,0,34500
3607,2027,2403,0,2400
3607,2032,2622,0,2600
3607,2036,2798,0,2800
3607,2046,3236,0,3200
3607,2055,3630,0,3600
3607,2060,3849,0,3800
3608,2027,9261,100,9400
3608,2032,9609,0,9600
3608,2036,9888,0,9900
3608,2046,10585,0,10500
3608,2055,11212,0,11000
3608,2060,11561,0,11500
3609,2027,25317,0,25500
3609,2032,27908,0,28000
3609,2036,29982,0,30000
3609,2046,35165,0,35000
3609,2055,39830,0,40000
3609,2060,42421,0,42500
3610,2027,0,100,100
3610,2027,0,100,100
3610,2027,0,100,100
3610,2027,0,100,100
3610,2032,0,100,100
3610,2036,0,100,100
3610,2046,0,150,150
3610,2055,0,150,150
3610,2060,0,200,200
3611,2027,19319,0,19500
3611,2032,20769,0,21000
3611,2036,21929,0,22000
3611,2046,24828,0,25000
3611,2055,27437,0,27500
3611,2060,28887,0,29000
3612,2027,51939,4000,56000
3612,2032,56091,2000,58000
3612,2036,59411,1000,60500
3612,2046,67714,0,67500
3612,2055,75186,0,75000
3612,2060,79337,0,79500
3613,2027,506,50,550
3613,2032,533,0,550
3613,2036,554,0,550
3613,2046,609,0,600
3613,2055,657,0,650
3613,2060,684,0,700
3614,2027,65666,0,65500
3614,2032,70892,0,71000
3614,2036,75073,0,75000
3614,2046,85526,0,85500
3614,2055,94933,0,95000
3614,2060,100160,0,100000
3615,2027,2567,300,2900
3615,2032,2728,300,3000
3615,2036,2857,200,3100
3615,2046,3179,100,3300
3615,2055,3469,0,3500
3615,2060,3630,0,3600
3616,2027,597,0,600
3616,2032,649,0,650
3616,2036,690,0,700
3616,2046,793,0,800
3616,2055,886,0,900
3616,2060,938,0,950
3617,2027,1722,0,1700
3617,2032,1917,0,1900
3617,2036,2073,0,2100
3617,2046,2462,0,2500
3617,2055,2813,0,2800
3617,2060,3008,0,3000
3618,2027,2204,0,2200
3618,2032,2405,0,2400
3618,2036,2566,0,2600
3618,2046,2968,0,3000
3618,2055,3330,0,3300
3618,2060,3531,0,3500
3619,2027,0,450,450
3619,2032,0,450,450
3619,2036,0,500,500
3619,2046,0,550,550
3619,2055,0,550,550
3619,2060,0,600,600
3620,2027,13606,500,14000
3620,2032,14639,0,14500
3620,2036,15465,0,15500
3620,2046,17530,0,17500
3620,2055,19389,0,19500
3620,2060,20422,0,20500
3621,2027,0,350,350
3621,2032,0,350,350
3621,2036,0,400,400
3621,2046,0,400,400
3621,2055,0,450,450
3621,2060,0,450,450
3622,2027,0,150,150
3622,2032,0,150,150
3622,2036,0,150,150
3622,2046,0,200,200
3622,2055,0,200,200
3622,2060,0,200,200
3623,2027,10297,500,11000
3623,2032,11076,500,11500
3623,2036,11700,500,12000
3623,2046,13259,0,13500
3623,2055,14662,0,14500
3623,2060,15441,0,15500
3624,2027,1431,600,2000
3624,2032,1587,400,2000
3624,2036,1711,400,2100
3624,2046,2023,300,2300
3624,2055,2303,100,2400
3624,2060,2459,0,2500
3625,2027,0,150,150
3625,2032,0,150,150
3625,2036,0,150,150
3625,2046,0,200,200
3625,2055,0,200,200
3625,2060,0,200,200
3626,2027,3446,300,3700
3626,2032,3691,200,3900
3626,2036,3887,100,4000
3626,2046,4377,0,4400
3626,2055,4818,0,4800
3626,2060,5062,0,5100
3627,2027,0,350,350
3627,2032,0,350,350
3627,2036,0,400,400
3627,2046,0,400,400
3627,2055,0,450,450
3627,2060,0,450,450
3628,2027,36695,10000,46500
3628,2032,40127,9000,49000
3628,2036,42873,7000,50000
3628,2046,49738,5000,54500
3628,2055,55916,2000,58000
3628,2060,59348,0,59500
3629,2027,3823,0,3800
3629,2032,4248,0,4200
3629,2036,4588,0,4600
3629,2046,5437,0,5400
3629,2055,6202,0,6200
3629,2060,6627,0,6600
