externalid,year,AADT
3601,2003,428
3601,2004,450
3601,2005,465
3601,2006,505
3601,2007,510
3601,2008,495
3601,2009,505
3601,2010,515
3601,2011,510
3601,2012,585
3601,2013,605
3601,2014,615
3601,2015,655
3601,2016,685
3601,2017,703
3601,2018,731
3601,2019,740
3601,2020,739
3601,2021,792
3601,2022,783
3601,2023,817
3602,1981,3735
3602,1982,3735
3602,1983,3775
3602,1984,3850
3602,1985,3900
3602,1986,3910
3602,1987,3920
3602,1988,3930
3602,1989,3980
3602,1990,3700
3602,1991,7085
3602,1992,7085
3602,1993,7525
3602,1994,7520
3602,1995,7200
3602,1996,7200
3602,1997,7485
3602,1998,7690
3602,1999,7965
3602,2000,8363
3602,2001,8445
3602,2002,5585
3602,2003,5485
3602,2004,5735
3602,2005,5920
3602,2006,6775
3602,2007,6815
3602,2008,6640
3602,2009,6760
3602,2010,6885
3602,2011,6590
3602,2012,7820
3602,2013,8085
3602,2014,8215
3602,2015,8700
3602,2016,9124
3602,2017,9361
3602,2018,9735
3602,2019,9852
3602,2020,9842
3602,2021,10551
3602,2022,10435
3602,2023,10884
3603,2014,1000
3603,2015,1045
3603,2016,1098
3603,2017,1422
3603,2018,1436
3603,2019,1462
3603,2020,1306
3603,2021,1416
3603,2022,1430
3603,2023,1450
3604,1981,8075
3604,1982,8140
3604,1983,8350
3604,1984,9320
3604,1985,9500
3604,1986,9550
3604,1987,9600
3604,1989,13080
3604,1990,13440
3604,1991,14280
3604,1992,14780
3604,1993,15610
3604,1994,17800
3604,1995,19740
3604,1996,20050
3604,1997,20665
3604,1998,21435
3604,1999,22720
3604,2000,23720
3604,2001,24183
3604,2002,25174
3604,2003,23775
3604,2004,23180
3604,2005,20715
3604,2006,22150
3604,2007,22505
3604,2008,22460
3604,2009,24390
3604,2010,24415
3604,2011,21820
3604,2012,23045
3604,2013,23320
3604,2014,23555
3604,2015,25555
3604,2016,25327
3604,2017,26163
3604,2018,27393
3604,2019,28215
3604,2020,26325
3604,2021,29352
3604,2022,29587
3604,2023,30060
3605,1981,1065
3605,1982,1065
3605,1983,1080
3605,1984,1100
3605,1985,1115
3605,1986,1120
3605,1987,1125
3605,1989,2800
3605,1990,2800
3605,1991,2815
3605,1992,2685
3605,1993,3540
3605,1994,3720
3605,1995,3820
3605,1996,3865
3605,1997,3960
3605,1998,4010
3605,1999,4340
3605,2000,4310
3605,2001,4340
3605,2002,2735
3605,2003,2735
3605,2004,2755
3605,2005,2750
3605,2006,2870
3605,2007,2910
3605,2008,2765
3605,2009,2315
3605,2010,2305
3605,2011,2455
3605,2012,2410
3605,2013,2350
3605,2014,2375
3605,2015,2475
3605,2016,2607
3605,2017,3689
3605,2018,3726
3605,2019,3793
3605,2020,3387
3605,2021,3672
3605,2022,3708
3605,2023,3760
3606,1981,6990
3606,1982,6610
3606,1983,6420
3606,1984,6680
3606,1985,6760
3606,1986,6990
3606,1987,7705
3606,1988,8010
3606,1989,8415
3606,1990,8665
3606,1991,9420
3606,1992,10175
3606,1993,10960
3606,1994,12625
3606,1995,13425
3606,1996,12605
3606,1997,13445
3606,1998,14130
3606,1999,14850
3606,2000,14885
3606,2001,14860
3606,2002,15380
3606,2003,15465
3606,2004,16220
3606,2005,14875
3606,2006,14885
3606,2007,15735
3606,2008,15215
3606,2009,15870
3606,2010,16265
3606,2011,16280
3606,2012,16495
3606,2013,16460
3606,2014,17085
3606,2015,18400
3606,2016,19247
3606,2017,19632
3606,2018,19848
3606,2019,19808
3606,2020,18580
3606,2021,20903
3606,2022,21028
3606,2023,21512
3607,2003,4760
3607,2004,4975
3607,2005,4960
3607,2006,955
3607,2007,1660
3607,2008,1620
3607,2009,1645
3607,2010,1680
3607,2011,1675
3607,2012,1640
3607,2013,1695
3607,2014,1725
3607,2015,1825
3607,2016,1915
3607,2017,1965
3607,2018,2044
3607,2019,2069
3607,2020,2067
3607,2021,2216
3607,2022,2191
3607,2023,2285
3608,1981,6195
3608,1982,6215
3608,1983,6310
3608,1984,5665
3608,1985,5780
3608,1986,6000
3608,1987,6450
3608,1988,6510
3608,1989,6505
3608,1990,6035
3608,1991,6075
3608,1992,6420
3608,1993,6745
3608,1994,7365
3608,1995,7325
3608,1996,7550
3608,1997,7435
3608,1998,7935
3608,1999,8385
3608,2000,8320
3608,2001,8305
3608,2002,7350
3608,2003,7795
3608,2004,8510
3608,2005,8090
3608,2006,8220
3608,2007,8065
3608,2008,7850
3608,2009,7920
3608,2010,7785
3608,2011,7910
3608,2012,7340
3608,2013,6110
3608,2014,7605
3608,2015,8005
3608,2016,8393
3608,2017,8640
3608,2018,8936
3608,2019,9056
3608,2020,9563
3608,2021,8463
3608,2022,8878
3608,2023,9260
3609,1981,3690
3609,1982,3800
3609,1983,3800
3609,1984,4080
3609,1985,4420
3609,1986,4620
3609,1987,4820
3609,1988,4990
3609,1989,4640
3609,1990,5530
3609,1991,5850
3609,1992,6185
3609,1993,7065
3609,1994,7440
3609,1995,7940
3609,1996,8165
3609,1997,8430
3609,1998,9274
3609,1999,10200
3609,2000,10405
3609,2001,10967
3609,2002,11420
3609,2003,13742
3609,2004,13855
3609,2005,14145
3609,2006,14560
3609,2007,14780
3609,2008,14200
3609,2009,14300
3609,2010,14560
3609,2011,17845
3609,2012,18115
3609,2013,18440
3609,2014,18995
3609,2015,20075
3609,2016,21120
3609,2017,21564
3609,2018,22146
3609,2019,22567
3609,2020,19408
3609,2021,22416
3609,2022,23111
3609,2023,23758
3611,1981,6600
3611,1982,6600
3611,1983,6600
3611,1984,3240
3611,1985,6760
3611,1986,6760
3611,1987,6930
3611,1988,7240
3611,1989,7000
3611,1990,9250
3611,1991,9410
3611,1992,9730
3611,1993,10300
3611,1994,9476
3611,1995,10065
3611,1996,10315
3611,1997,11086
3611,1998,11340
3611,1999,12375
3611,2000,12406
3611,2001,13385
3611,2002,13905
3611,2003,14770
3611,2004,12820
3611,2005,13600
3611,2006,13955
3611,2007,14610
3611,2008,14025
3611,2009,14235
3611,2010,14350
3611,2011,13265
3611,2012,13385
3611,2013,13675
3611,2014,14305
3611,2015,14980
3611,2016,15742
3611,2017,16261
3611,2018,16391
3611,2019,16752
3611,2020,15981
3611,2021,18059
3611,2022,18329
3611,2023,18806
3612,1981,13500
3612,1982,13500
3612,1983,13550
3612,1984,13760
3612,1985,17585
3612,1986,17880
3612,1987,18200
3612,1988,19580
3612,1989,20725
3612,1990,21860
3612,1991,22300
3612,1992,23065
3612,1993,24415
3612,1994,24015
3612,1995,25335
3612,1996,26365
3612,1997,28316
3612,1998,30470
3612,1999,31600
3612,2000,32990
3612,2001,34175
3612,2002,36170
3612,2003,35084
3612,2004,32600
3612,2005,33685
3612,2006,34865
3612,2007,34020
3612,2008,34180
3612,2009,34595
3612,2010,35205
3612,2011,34690
3612,2012,35060
3612,2013,35150
3612,2014,36490
3612,2015,38770
3612,2016,41740
3612,2017,43939
3612,2018,45412
3612,2019,47419
3612,2020,40780
3612,2021,50969
3612,2022,52345
3612,2023,54543
3613,1981,160
3613,1982,165
3613,1983,105
3613,1984,170
3613,1985,175
3613,1986,175
3613,1987,185
3613,1989,515
3613,1990,535
3613,1991,540
3613,1992,570
3613,1993,525
3613,1994,575
3613,1995,575
3613,1996,600
3613,1997,624
3613,1998,625
3613,1999,650
3613,2000,725
3613,2001,750
3613,2002,745
3613,2003,740
3613,2004,765
3613,2005,780
3613,2006,800
3613,2007,845
3613,2008,815
3613,2009,380
3613,2010,385
3613,2011,400
3613,2012,485
3613,2013,495
3613,2014,520
3613,2015,390
3613,2016,406
3613,2017,420
3613,2018,436
3613,2019,431
3613,2020,463
3613,2021,487
3613,2022,489
3613,2023,505
3614,1981,17600
3614,1982,18190
3614,1983,18260
3614,1984,18995
