externalid,year,linear_forecast
3601,2003,412
3601,2027,890
3601,2032,989
3601,2036,1069
3601,2046,1268
3601,2055,1447
3601,2060,1546
3602,1981,3875
3602,2027,10557
3602,2032,11284
3602,2036,11865
3602,2046,13318
3602,2055,14625
3602,2060,15352
3603,2016,1282
3603,2027,1582
3603,2032,1718
3603,2036,1827
3603,2046,2099
3603,2055,2344
3603,2060,2481
3604,1981,9852
3604,2027,32376
3604,2032,34825
3604,2036,36783
3604,2046,41680
3604,2055,46087
3604,2060,48535
3605,2002,2359
3605,2027,3728
3605,2032,4002
3605,2036,4222
3605,2046,4770
3605,2055,5263
3605,2060,5537
3606,1981,6511
3606,2027,22804
3606,2032,24575
3606,2036,25992
3606,2046,29534
3606,2055,32722
3606,2060,34493
3607,2007,1527
3607,2027,2403
3607,2032,2622
3607,2036,2798
3607,2046,3236
3607,2055,3630
3607,2060,3849
3608,1981,6054
3608,2027,9261
3608,2032,9609
3608,2036,9888
3608,2046,10585
3608,2055,11212
3608,2060,11561
3609,1981,1474
3609,2027,25317
3609,2032,27908
3609,2036,29982
3609,2046,35165
3609,2055,39830
3609,2060,42421
3611,1981,5983
3611,2027,19319
3611,2032,20769
3611,2036,21929
3611,2046,24828
3611,2055,27437
3611,2060,28887
3612,1981,13749
3612,2027,51939
3612,2032,56091
3612,2036,59411
3612,2046,67714
3612,2055,75186
3612,2060,79337
3613,2009,408
3613,2027,506
3613,2032,533
3613,2036,554
3613,2046,609
3613,2055,657
3613,2060,684
3614,1981,17584
3614,2027,65666
3614,2032,70892
3614,2036,75073
3614,2046,85526
3614,2055,94933
3614,2060,100160
3615,2007,1923
3615,2027,2567
3615,2032,2728
3615,2036,2857
3615,2046,3179
3615,2055,3469
3615,2060,3630
3616,2006,380
3616,2027,597
3616,2032,649
3616,2036,690
3616,2046,793
3616,2055,886
3616,2060,938
3617,2011,1099
3617,2027,1722
3617,2032,1917
3617,2036,2073
3617,2046,2462
3617,2055,2813
3617,2060,3008
3618,2007,1401
3618,2027,2204
3618,2032,2405
3618,2036,2566
3618,2046,2968
3618,2055,3330
3618,2060,3531
3620,1981,3969
3620,2027,20739
3620,2032,22561
3620,2036,24020
3620,2046,27665
3620,2055,30946
3620,2060,32769
3623,1981,3127
3623,2027,10297
3623,2032,11076
3623,2036,11700
3623,2046,13259
3623,2055,14662
3623,2060,15441
3624,1990,278
3624,2027,1431
3624,2032,1587
3624,2036,1711
3624,2046,2023
3624,2055,2303
3624,2060,2459
3626,1981,1194
3626,2027,3446
3626,2032,3691
3626,2036,3887
3626,2046,4377
3626,2055,4818
3626,2060,5062
3628,1984,7176
3628,2027,36695
3628,2032,40127
3628,2036,42873
3628,2046,49738
3628,2055,55916
3628,2060,59348
3629,2011,2463
3629,2027,3823
3629,2032,4248
3629,2036,4588
3629,2046,5437
3629,2055,6202
3629,2060,6627
