;Idx_WF,WF_Ext,Year,AWDT,PASS_VOL,TRUCK_MD,TRUCK_HV,AWDT_FAC,AADT,PASSENGER,TRUCK_SU,TRUCK_MU,PctTrk_SU,PctTrk_MU
36012010,3601,2010,492,320,105,67,0.956,515,335,110,70,0.214,0.135
36012011,3601,2011,488,317,104,66,0.956,510,332,109,69,0.214,0.135
36012012,3601,2012,559,364,120,76,0.956,585,381,125,79,0.214,0.135
36012013,3601,2013,578,377,123,78,0.956,605,394,129,82,0.214,0.135
36012014,3601,2014,588,382,126,79,0.956,615,400,132,83,0.214,0.135
36012015,3601,2015,626,408,134,84,0.956,655,427,140,88,0.214,0.135
36012016,3601,2016,655,426,141,88,0.956,685,446,147,92,0.214,0.135
36012017,3601,2017,672,438,143,91,0.956,703,458,150,95,0.214,0.135
36012018,3601,2018,699,455,149,95,0.956,731,476,156,99,0.214,0.135
36012019,3601,2019,707,461,151,96,0.956,740,482,158,100,0.214,0.135
36012020,3601,2020,717,467,153,97,0.956,750,489,160,101,0.214,0.135
36012021,3601,2021,735,478,158,99,0.956,769,500,165,104,0.214,0.135
36012022,3601,2022,753,490,162,101,0.956,788,513,169,106,0.214,0.135
36012023,3601,2023,771,502,165,104,0.956,807,525,173,109,0.214,0.135
36012024,3601,2024,790,513,169,107,0.956,826,537,177,112,0.214,0.135
36012025,3601,2025,808,526,173,109,0.956,845,550,181,114,0.214,0.135
36012026,3601,2026,826,537,177,112,0.956,864,562,185,117,0.214,0.135
36012027,3601,2027,860,559,185,117,0.956,900,585,193,122,0.214,0.135
36012028,3601,2028,880,573,188,119,0.956,920,599,197,124,0.214,0.135
36012029,3601,2029,899,585,192,121,0.956,940,612,201,127,0.214,0.135
36012030,3601,2030,918,598,196,124,0.956,960,625,205,130,0.214,0.135
36012031,3601,2031,937,610,201,126,0.956,980,638,210,132,0.214,0.135
36012032,3601,2032,956,622,205,129,0.956,1000,651,214,135,0.214,0.135
36012033,3601,2033,980,639,209,132,0.956,1025,668,219,138,0.214,0.135
36012034,3601,2034,1004,653,215,136,0.956,1050,683,225,142,0.214,0.135
36012035,3601,2035,1028,669,220,139,0.956,1075,700,230,145,0.214,0.135
36012036,3601,2036,1052,685,225,141,0.956,1100,717,235,148,0.214,0.135
36012037,3601,2037,1071,697,229,144,0.956,1120,729,240,151,0.214,0.135
36012038,3601,2038,1090,709,233,147,0.956,1140,742,244,154,0.214,0.135
36012039,3601,2039,1109,722,237,150,0.956,1160,755,248,157,0.214,0.135
36012040,3601,2040,1128,734,242,152,0.956,1180,768,253,159,0.214,0.135
36012041,3601,2041,1147,747,246,155,0.956,1200,781,257,162,0.214,0.135
36012042,3601,2042,1166,759,250,158,0.956,1220,794,261,165,0.214,0.135
36012043,3601,2043,1185,772,253,160,0.956,1240,808,265,167,0.214,0.135
36012044,3601,2044,1205,784,258,163,0.956,1260,820,270,170,0.214,0.135
36012045,3601,2045,1224,796,262,165,0.956,1280,833,274,173,0.214,0.135
36012046,3601,2046,1243,809,266,168,0.956,1300,846,278,176,0.214,0.135
36012047,3601,2047,1253,815,269,169,0.956,1311,853,281,177,0.214,0.135
36012048,3601,2048,1264,823,271,170,0.956,1322,861,283,178,0.214,0.135
36012049,3601,2049,1274,830,272,172,0.956,1333,868,285,180,0.214,0.135
36012050,3601,2050,1285,836,275,173,0.956,1344,875,288,181,0.214,0.135
36012051,3601,2051,1296,844,277,175,0.956,1356,883,290,183,0.214,0.135
36012052,3601,2052,1307,850,280,177,0.956,1367,889,293,185,0.214,0.135
36012053,3601,2053,1317,858,282,178,0.956,1378,897,295,186,0.214,0.135
36012054,3601,2054,1328,864,284,180,0.956,1389,904,297,188,0.214,0.135
36012055,3601,2055,1338,871,287,181,0.956,1400,911,300,189,0.214,0.135
36012056,3601,2056,1358,883,291,184,0.956,1420,924,304,192,0.214,0.135
36012057,3601,2057,1377,897,294,185,0.956,1440,938,308,194,0.214,0.135
36012058,3601,2058,1396,909,298,188,0.956,1460,951,312,197,0.214,0.135
36012059,3601,2059,1415,921,303,191,0.956,1480,963,317,200,0.214,0.135
36012060,3601,2060,1434,934,307,193,0.956,1500,977,321,202,0.214,0.135
36022010,3602,2010,7360,5401,836,1123,0.971,7580,5562,861,1157,0.1136,0.1526
36022011,3602,2011,7336,5383,833,1120,0.971,7555,5544,858,1153,0.1136,0.1526
36022012,3602,2012,7195,5279,818,1098,0.971,7410,5437,842,1131,0.1136,0.1526
36022013,3602,2013,7443,5461,846,1136,0.971,7665,5624,871,1170,0.1136,0.1526
36022014,3602,2014,7559,5547,858,1154,0.971,7785,5713,884,1188,0.1136,0.1526
36022015,3602,2015,8006,5875,910,1222,0.971,8245,6050,937,1258,0.1136,0.1526
36022016,3602,2016,8398,6162,954,1282,0.971,8649,6346,983,1320,0.1136,0.1526
36022017,3602,2017,8617,6323,979,1315,0.971,8874,6512,1008,1354,0.1136,0.1526
36022018,3602,2018,8961,6577,1018,1367,0.971,9229,6773,1048,1408,0.1136,0.1526
36022019,3602,2019,9069,6655,1030,1384,0.971,9340,6854,1061,1425,0.1136,0.1526
36022020,3602,2020,9060,6648,1029,1383,0.971,9331,6847,1060,1424,0.1136,0.1526
36022021,3602,2021,9713,7128,1103,1482,0.971,10003,7341,1136,1526,0.1136,0.1526
36022022,3602,2022,9606,7048,1091,1466,0.971,9893,7259,1124,1510,0.1136,0.1526
36022023,3602,2023,10019,7351,1138,1529,0.971,10318,7571,1172,1575,0.1136,0.1526
36022024,3602,2024,9747,7152,1107,1488,0.971,10038,7366,1140,1532,0.1136,0.1526
36022025,3602,2025,9861,7235,1121,1505,0.971,10155,7451,1154,1550,0.1136,0.1526
36022026,3602,2026,9974,7318,1133,1523,0.971,10272,7537,1167,1568,0.1136,0.1526
36022027,3602,2027,10681,7837,1214,1630,0.971,11000,8071,1250,1679,0.1136,0.1526
36022028,3602,2028,10778,7909,1224,1645,0.971,11100,8145,1261,1694,0.1136,0.1526
36022029,3602,2029,10875,7981,1235,1659,0.971,11200,8219,1272,1709,0.1136,0.1526
36022030,3602,2030,10972,8052,1247,1674,0.971,11300,8292,1284,1724,0.1136,0.1526
36022031,3602,2031,11069,8122,1257,1690,0.971,11400,8365,1295,1740,0.1136,0.1526
36022032,3602,2032,11166,8194,1268,1704,0.971,11500,8439,1306,1755,0.1136,0.1526
36022033,3602,2033,11288,8283,1283,1723,0.971,11625,8530,1321,1774,0.1136,0.1526
36022034,3602,2034,11409,8372,1296,1741,0.971,11750,8622,1335,1793,0.1136,0.1526
36022035,3602,2035,11531,8461,1310,1759,0.971,11875,8714,1349,1812,0.1136,0.1526
